Issue_ID,Created_Date,Resolved_Date,Status,Assignee,Labels,Milestone
36315,2026-04-18T13:33:10Z,,open,Unassigned,"Type: Bug, Status: Unconfirmed, Component: Developer Tools",
36302,2026-04-17T08:15:53Z,2026-04-17T18:08:30Z,closed,Unassigned,Status: Unconfirmed,
36298,2026-04-17T02:03:53Z,,open,Unassigned,Status: Unconfirmed,
36288,2026-04-16T18:18:43Z,,open,Unassigned,Status: Unconfirmed,
36284,2026-04-16T12:53:45Z,,open,Unassigned,Status: Unconfirmed,
36283,2026-04-16T07:57:08Z,,open,Unassigned,Status: Unconfirmed,
36281,2026-04-16T00:54:11Z,,open,Unassigned,"Type: Bug, Status: Unconfirmed",
36279,2026-04-15T18:16:18Z,2026-04-15T19:52:40Z,closed,Unassigned,"Type: Bug, Status: Unconfirmed",
